time,label,IBI,HR
1674892277.054046,R,2108,28.5
1674892279.162046,R,572,104.9
1674892279.734046,N,568,105.6
1674892280.302046,N,564,106.4
1674892280.866046,N,564,106.4
1674892281.430046,N,564,106.4
1674892281.994046,N,556,107.9
1674892282.550046,N,564,106.4
1674892283.114046,N,556,107.9
1674892283.670046,N,556,107.9
1674892284.226046,N,552,108.7
1674892284.7780461,N,552,108.7
1674892285.330046,N,556,107.9
1674892285.886046,N,556,107.9
1674892286.442046,N,564,106.4
1674892287.006046,N,560,107.1
1674892287.566046,N,564,106.4
1674892288.1300461,N,576,104.2
1674892288.706046,N,584,102.7
1674892289.290046,N,584,102.7
1674892289.874046,N,592,101.4
1674892290.466046,N,584,102.7
1674892291.050046,N,580,103.4
1674892291.6300461,N,576,104.2
1674892292.206046,N,576,104.2
1674892292.782046,N,568,105.6
1674892293.350046,N,556,107.9
1674892293.906046,N,560,107.1
1674892294.466046,N,552,108.7
1674892295.0180461,N,552,108.7
1674892295.570046,N,552,108.7
1674892296.122046,N,548,109.5
1674892296.670046,N,548,109.5
1674892297.218046,N,548,109.5
1674892297.766046,N,552,108.7
1674892298.318046,N,552,108.7
1674892298.8700461,N,552,108.7
1674892299.422046,N,548,109.5
1674892299.970046,N,644,93.2
1674892300.614046,R,444,135.1
1674892301.058046,R,540,111.1
1674892301.598046,N,540,111.1
1674892302.138046,N,540,111.1
1674892302.678046,N,532,112.8
1674892303.210046,N,536,111.9
1674892303.746046,N,532,112.8
1674892304.2780461,N,532,112.8
1674892304.810046,N,532,112.8
1674892305.342046,N,536,111.9
1674892305.878046,N,540,111.1
1674892306.418046,N,528,113.6
1674892306.946046,N,532,112.8
1674892307.478046,N,536,111.9
1674892308.014046,N,532,112.8
1674892308.546046,N,536,111.9
1674892309.082046,N,532,112.8
1674892309.614046,N,536,111.9
1674892310.150046,N,532,112.8
1674892310.682046,N,532,112.8
1674892311.214046,N,536,111.9
1674892311.750046,N,540,111.1
1674892312.290046,N,548,109.5
1674892312.838046,N,560,107.1
1674892313.398046,N,560,107.1
1674892313.958046,N,572,104.9
1674892314.530046,N,580,103.4
1674892315.110046,N,580,103.4
1674892315.690046,N,576,104.2
1674892316.266046,N,576,104.2
1674892316.842046,N,572,104.9
1674892317.414046,N,564,106.4
1674892317.978046,N,564,106.4
1674892318.542046,N,560,107.1
1674892319.102046,N,556,107.9
1674892319.658046,N,556,107.9
1674892320.214046,N,560,107.1
1674892320.774046,N,556,107.9
1674892321.330046,N,556,107.9
1674892321.886046,N,552,108.7
1674892322.438046,N,556,107.9
1674892322.994046,N,552,108.7
1674892323.546046,N,556,107.9
1674892324.102046,N,552,108.7
1674892324.654046,N,548,109.5
1674892325.202046,N,556,107.9
1674892325.758046,N,552,108.7
1674892326.310046,N,548,109.5
1674892326.858046,R,788,76.1
1674892327.646046,R,300,200
1674892327.946046,R,600,100
1674892328.546046,R,160,375
1674892328.706046,R,660,90.9
1674892329.366046,R,756,79.4
1674892330.122046,R,592,101.4
1674892330.714046,N,504,119
1674892331.218046,N,552,108.7
1674892331.770046,N,548,109.5
1674892332.318046,N,552,108.7
1674892332.8700461,N,548,109.5
1674892333.418046,N,548,109.5
1674892333.966046,N,548,109.5
1674892334.514046,N,548,109.5
1674892335.062046,N,548,109.5
1674892335.610046,N,548,109.5
1674892336.158046,N,548,109.5
1674892336.706046,N,544,110.3
1674892337.250046,N,540,111.1
1674892337.790046,N,536,111.9
1674892338.326046,N,540,111.1
1674892338.866046,N,536,111.9
1674892339.402046,N,532,112.8
1674892339.934046,N,528,113.6
1674892340.4620461,N,528,113.6
1674892340.990046,N,532,112.8
1674892341.522046,N,532,112.8
1674892342.054046,N,536,111.9
1674892342.590046,N,532,112.8
1674892343.122046,R,436,137.6
1674892343.558046,R,636,94.3
1674892344.194046,R,596,100.7
1674892344.790046,N,476,126.1
1674892345.266046,N,548,109.5
1674892345.8140461,N,564,106.4
1674892346.378046,N,580,103.4
1674892346.958046,N,588,102
1674892347.546046,N,592,101.4
1674892348.138046,N,600,100
1674892348.738046,N,600,100
1674892349.338046,N,588,102
1674892349.9260461,N,580,103.4
1674892350.506046,N,572,104.9
1674892351.078046,N,568,105.6
1674892351.646046,N,568,105.6
1674892352.214046,N,560,107.1
1674892352.774046,N,556,107.9
1674892353.330046,N,552,108.7
1674892353.882046,N,548,109.5
1674892354.430046,N,556,107.9
1674892354.986046,R,428,140.2
1674892355.414046,R,784,76.5
1674892356.198046,R,460,130.4
1674892356.658046,R,564,106.4
1674892357.2220461,N,564,106.4
1674892357.786046,R,392,153.1
1674892358.178046,R,172,348.8
1674892358.350046,R,560,107.1
1674892358.910046,N,564,106.4
1674892359.474046,N,560,107.1
1674892360.034046,N,560,107.1
1674892360.594046,N,556,107.9
1674892361.150046,N,556,107.9
1674892361.706046,N,552,108.7
1674892362.258046,N,548,109.5
1674892362.806046,N,544,110.3
1674892363.350046,N,556,107.9
1674892363.906046,N,540,111.1
1674892364.446046,N,532,112.8
1674892364.978046,R,540,111.1
1674892365.5180461,N,536,111.9
1674892366.054046,N,536,111.9
1674892366.590046,N,536,111.9
1674892367.126046,N,536,111.9
1674892367.662046,N,528,113.6
1674892368.190046,N,532,112.8
1674892368.7220461,R,576,104.2
1674892369.298046,R,500,120
1674892369.798046,N,540,111.1
1674892370.338046,N,544,110.3
1674892370.882046,N,552,108.7
1674892371.434046,N,552,108.7
1674892371.986046,N,560,107.1
1674892372.546046,N,548,109.5
1674892373.094046,N,556,107.9
1674892373.650046,N,564,106.4
1674892374.214046,N,560,107.1
1674892374.774046,N,560,107.1
1674892375.3340461,N,556,107.9
1674892375.8900461,N,556,107.9
1674892376.446046,N,552,108.7
1674892376.998046,N,548,109.5
1674892377.546046,N,544,110.3
1674892378.090046,N,548,109.5
1674892378.638046,N,544,110.3
1674892379.182046,N,548,109.5
1674892379.730046,N,548,109.5
1674892380.2780461,N,552,108.7
1674892380.830046,N,556,107.9
1674892381.386046,N,560,107.1
1674892381.946046,N,556,107.9
1674892382.502046,N,560,107.1
1674892383.062046,N,560,107.1
1674892383.622046,N,560,107.1
